radians	I
1.801502	30.525550
1.802772	30.473620
1.804043	30.397850
1.805313	30.570430
1.806584	30.406490
1.807855	30.425890
1.809125	30.238510
1.810396	30.351800
1.811666	30.470130
1.812937	30.531660
1.814208	30.690240
1.815478	30.710820
1.816749	30.769130
1.818019	30.919660
1.819290	30.928980
1.820560	30.886220
1.821831	31.096100
1.823102	31.207210
1.824372	31.217670
1.825643	31.275860
1.826913	31.229600
1.828184	31.230970
1.829455	31.167920
1.830725	31.269940
1.831996	31.319610
1.833266	31.390510
1.834537	31.406390
1.835807	31.685460
1.837078	31.718290
1.838349	31.716980
1.839619	31.849010
1.840890	31.838510
1.842160	31.874580
1.843431	31.866560
1.844702	31.886370
1.845972	31.805550
1.847243	31.924600
1.848513	31.882240
1.849784	31.765480
1.851055	31.569710
1.852325	31.546940
1.853596	31.737440
1.854866	31.962110
1.856137	32.137410
1.857407	32.333180
1.858678	32.499030
1.859949	32.545620
1.861219	32.612370
1.862490	32.719250
1.863760	32.895660
1.865031	32.939340
1.866302	32.914810
1.867572	32.914610
1.868843	32.860730
1.870113	32.968430
1.871384	33.018300
1.872655	33.061910
1.873925	33.066230
1.875196	33.122920
1.876466	33.280110
1.877737	33.440690
1.879007	33.649850
1.880278	33.826950
1.881549	33.847440
1.882819	34.032770
1.884090	34.314100
1.885360	34.407050
1.886631	34.409840
1.887902	34.610160
1.889172	34.701420
1.890443	34.815910
1.891713	34.922840
1.892984	34.955550
1.894254	34.868680
1.895525	34.812740
1.896796	34.775200
1.898066	34.836620
1.899337	35.030640
1.900607	35.211860
1.901878	35.398210
1.903149	35.493770
1.904419	35.606540
1.905690	35.672820
1.906960	35.849410
1.908231	35.995280
1.909502	35.990370
1.910772	36.070040
1.912043	36.081940
1.913313	36.069440
1.914584	36.181970
1.915854	36.136070
1.917125	35.956760
1.918396	35.943350
1.919666	35.928040
1.920937	36.179430
1.922207	36.280620
1.923478	36.400180
1.924749	36.653370
1.926019	36.620670
1.927290	36.619450
1.928560	36.843880
1.929831	37.121510
1.931102	37.271300
1.932372	37.443160
1.933643	37.605690
1.934913	37.679290
1.936184	37.687310
1.937454	37.608320
1.938725	37.586610
1.939996	37.714500
1.941266	37.903260
1.942537	37.863230
1.943807	37.897110
1.945078	38.039490
1.946349	37.894920
1.947619	37.975880
1.948890	38.186220
1.950160	38.285180
1.951431	38.498670
1.952701	38.547700
1.953972	38.622680
1.955243	38.729240
1.956513	38.742610
1.957784	38.962750
1.959054	39.216870
1.960325	39.349150
1.961596	39.470490
1.962866	39.756160
1.964137	39.809810
1.965407	39.841160
1.966678	39.892850
1.967949	40.061310
1.969219	40.030000
1.970490	40.211580
1.971760	40.280760
1.973031	40.193180
1.974301	40.201000
1.975572	40.205090
1.976843	40.328500
1.978113	40.485080
1.979384	40.484790
1.980654	40.385920
1.981925	40.476510
1.983196	40.638660
1.984466	40.766190
1.985737	40.742810
1.987007	40.620770
1.988278	40.732320
